playerstatsID,playerID,yearID,lgID,teamID,stint,AL_indicator,CL_indicator,KBO_indicator,NL_indicator,PL_indicator,transition_indicator,statType,stat,value
1771737,MLB_sullite01_NPB__KBO_,1884,UA,KCU,1,0,0,0,0,0,1,Batting,11,1.0
1771744,MLB_sulliwi01_NPB__KBO_,1884,UA,SLU,1,0,0,0,0,0,1,Batting,11,0.0
1772243,MLB_sweenbi01_NPB__KBO_,1884,UA,BLU,1,0,0,0,0,0,2,Batting,11,9.0
1772267,MLB_sweench01_NPB__KBO_,1884,UA,SLU,2,0,0,0,0,0,2,Batting,11,10.0
1772284,MLB_sweenje01_NPB__KBO_,1884,UA,KCU,1,0,0,0,0,0,1,Batting,11,4.0
1772325,MLB_sweenro01_NPB__KBO_,1884,UA,BLU,1,0,0,0,0,0,2,Batting,11,15.0
1772475,MLB_sylvelo01_NPB__KBO_,1884,UA,CNU,1,0,0,0,0,0,1,Batting,11,18.0
1773104,MLB_taylobi01_NPB__KBO_,1884,UA,SLU,1,0,0,0,0,0,3,Batting,11,7.0
1773622,MLB_tennefr01_NPB__KBO_,1884,UA,WSU,1,0,0,0,0,0,1,Batting,11,0.0
1773623,MLB_tennefr01_NPB__KBO_,1884,UA,BSU,2,0,0,0,0,0,1,Batting,11,0.0
1773624,MLB_tennefr01_NPB__KBO_,1884,UA,WIL,3,0,0,0,0,0,1,Batting,11,0.0
1774790,MLB_tiernbi01_NPB__KBO_,1884,UA,BLU,1,0,0,0,0,0,2,Batting,11,1.0
1774825,MLB_tillejo01_NPB__KBO_,1884,UA,SPU,2,0,0,0,0,0,3,Batting,11,3.0
1774922,MLB_tinneth01_NPB__KBO_,1884,UA,WSU,1,0,0,0,0,0,1,Batting,11,6.0
1776235,MLB_turbije01_NPB__KBO_,1884,UA,KCU,1,0,0,0,0,0,1,Batting,11,3.0
1777736,MLB_veachpe01_NPB__KBO_,1884,UA,KCU,1,0,0,0,0,0,1,Batting,11,9.0
1778634,MLB_vossal01_NPB__KBO_,1884,UA,WSU,1,0,0,0,0,0,1,Batting,11,5.0
1778635,MLB_vossal01_NPB__KBO_,1884,UA,KCU,2,0,0,0,0,0,1,Batting,11,0.0
1779940,MLB_wardjo02_NPB__KBO_,1884,UA,WSU,1,0,0,0,0,0,1,Batting,11,0.0
1780564,MLB_weavesa01_NPB__KBO_,1884,UA,PHU,1,0,0,0,0,0,4,Batting,11,2.0
1781211,MLB_werdepe01_NPB__KBO_,1884,UA,SLU,1,0,0,0,0,0,1,Batting,11,2.0
1781239,MLB_werrijo01_NPB__KBO_,1884,UA,SPU,1,0,0,0,0,0,1,Batting,11,1.0
1781528,MLB_wheelha01_NPB__KBO_,1884,UA,KCU,2,0,0,0,0,0,3,Batting,11,3.0
1781529,MLB_wheelha01_NPB__KBO_,1884,UA,CHU,3,0,0,0,0,0,3,Batting,11,4.0
1781530,MLB_wheelha01_NPB__KBO_,1884,UA,BLU,4,0,0,0,0,0,3,Batting,11,0.0
1781902,MLB_whitemi01_NPB__KBO_,1884,UA,SLU,1,0,0,0,0,0,1,Batting,11,8.0
1781903,MLB_whitemi01_NPB__KBO_,1884,UA,KCU,2,0,0,0,0,0,1,Batting,11,0.0
1781999,MLB_whitewa01_NPB__KBO_,1884,UA,WSU,1,0,0,0,0,0,6,Batting,11,0.0
1782391,MLB_wiley01_NPB__KBO_,1884,UA,WSU,1,0,0,0,0,0,1,Batting,11,0.0
1783235,MLB_wills01_NPB__KBO_,1884,UA,KCU,2,0,0,0,0,0,2,Batting,11,0.0
1783994,MLB_wisebi01_NPB__KBO_,1884,UA,WSU,1,0,0,0,0,0,2,Batting,11,12.0
1785169,MLB_wymanfr01_NPB__KBO_,1884,UA,KCU,1,0,0,0,0,0,1,Batting,11,3.0
1785170,MLB_wymanfr01_NPB__KBO_,1884,UA,CHU,2,0,0,0,0,0,1,Batting,11,0.0
1785530,MLB_yeweled01_NPB__KBO_,1884,UA,WSU,2,0,0,0,0,0,2,Batting,11,0.0
2277383,MLB_albergu01_NPB__KBO_,1884,UA,WSU,2,0,0,0,0,0,2,Batting,15,4.0
2277595,MLB_alexani01_NPB__KBO_,1884,UA,KCU,1,0,0,0,0,0,1,Batting,15,9.0
2279892,MLB_atkinal01_NPB__KBO_,1884,UA,CHU,2,0,0,0,0,0,2,Batting,15,14.0
