playerId,Season,TeamKor,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
50711,2025,Hanwha,P,3,0,1 1/3,0,0,0,0,0,-,0,0,0,-
65117,2025,Hanwha,P,3,0,5,0,0,1,2,0,1,0,0,0,-
52704,2025,Hanwha,OF,3,0,5,0,0,0,0,0,-,0,0,0,-
66715,2025,Hanwha,1B,2,1,9,1,0,10,0,1,0.909,0,0,0,-
65703,2025,Hanwha,3B,2,1,10,0,0,2,0,0,1,0,0,0,-
55712,2025,Hanwha,SS,2,0,2,0,0,2,0,0,1,0,0,0,-
55712,2025,Hanwha,2B,2,0,3,0,0,0,0,0,-,0,0,0,-
50707,2025,Hanwha,OF,2,0,2,0,0,0,0,0,-,0,0,0,-
55734,2025,Hanwha,OF,2,1,11,0,0,3,1,0,1,0,0,0,-
54729,2025,Hanwha,P,2,2,8 1/3,0,0,0,3,0,1,0,0,0,-
53764,2025,Hanwha,3B,1,0,1,0,0,0,0,0,-,0,0,0,-
69766,2025,Hanwha,OF,1,0,2,0,0,0,1,0,1,0,0,0,-
55710,2025,Hanwha,OF,1,1,5,0,0,1,0,0,1,0,0,0,-
68700,2025,Hanwha,OF,1,0,1,0,0,0,0,0,-,0,0,0,-
66657,2025,Hanwha,OF,1,1,3,0,0,1,0,0,1,0,0,0,-
50707,2025,Hanwha,OF,1,0,1,0,0,0,0,0,-,0,0,0,-
52764,2025,Hanwha,C,1,0,1,0,0,1,0,0,1,0,0,0,-
51551,2025,Lotte,1B,52,52,442 1/3,4,0,400,29,34,0.991,0,0,0,-
68518,2025,Lotte,C,47,17,221 1/3,2,0,206,13,1,0.991,5,13,4,23.5
69517,2025,Lotte,2B,44,43,335,4,0,67,123,23,0.979,0,0,0,-
52591,2025,Lotte,OF,41,33,308 1/3,2,0,75,1,0,0.974,0,0,0,-
61102,2025,Lotte,C,40,38,256 2/3,1,0,241,14,1,0.996,3,25,1,3.8
50150,2025,Lotte,3B,39,38,331 1/3,8,0,30,69,9,0.925,0,0,0,-
54529,2025,Lotte,OF,36,29,253 1/3,0,0,48,0,0,1,0,0,0,-
54537,2025,Lotte,P,36,0,23 2/3,0,0,0,2,0,1,0,0,0,-
76430,2025,Lotte,P,34,0,27 1/3,0,0,3,1,0,1,0,0,0,-
68507,2025,Lotte,OF,34,18,204,0,0,62,1,0,1,0,0,0,-
51594,2025,Lotte,P,33,0,17,0,0,0,3,1,1,0,0,0,-
68205,2025,Lotte,SS,33,30,257 1/3,4,0,47,62,18,0.965,0,0,0,-
68242,2025,Lotte,P,29,0,28,0,0,0,5,1,1,0,0,0,-
