Player ID,Year,League,Team,Role,G,W,L,SV,HLD,HP,CG,SHO,WL%,BF,IP,H,HR,BB,HB,SO,WP,BK,R,ER,ERA,stint
41945139,2024,,YAKULT,,41,1,4,7,13,14,0,0,0.2,139,33.2,34,2,9,1,22,2,0,14,11,2.94,1
41945139,2025,,YAKULT,,18,1,1,0,5,6,0,0,0.5,70,14.2,17,0,6,2,13,1,0,9,9,5.52,1
41945155,2022,,SEIBU,,12,3,4,0,0,0,0,0,0.429,205,47,47,1,22,4,33,1,0,26,24,4.6,1
41945155,2023,,SEIBU,,47,1,2,0,18,19,0,0,0.333,167,39.2,35,1,16,0,27,2,0,15,11,2.5,1
41945155,2024,,SEIBU,,45,2,1,0,17,19,0,0,0.667,149,37.1,20,1,17,2,31,1,0,8,7,1.69,1
41945155,2025,,SEIBU,,15,0,2,0,6,6,0,0,0,66,13.2,16,2,10,2,6,0,0,10,10,6.59,1
43045155,2022,,SEIBU,,27,0,0,0,2,2,0,0,0,133,31.2,19,2,15,7,26,1,0,14,9,2.56,1
43045155,2023,,SEIBU,,28,0,1,0,0,0,0,0,0,151,36,20,1,19,7,27,2,0,12,12,3,1
43045155,2024,,SEIBU,,33,2,9,0,7,8,0,0,0.182,315,72.2,70,4,27,6,48,2,0,31,26,3.22,1
43145153,2023,,YAKULT,,22,0,0,0,0,0,0,0,0,117,26.2,20,3,16,2,25,1,0,12,12,4.05,1
43145153,2024,,YAKULT,,27,1,0,0,5,6,0,0,1,125,31.1,23,0,9,1,23,2,0,4,2,0.57,1
43145153,2025,,YAKULT,,1,0,0,0,0,0,0,0,0,2,0.2,0,0,0,0,1,0,0,0,0,0,1
43345153,2023,,ORIX,,16,9,3,0,0,0,0,0,0.75,383,95,71,2,30,4,101,4,1,21,17,1.61,1
43345153,2024,,ORIX,,14,3,6,0,0,0,1,0,0.333,269,64,49,5,31,5,83,4,0,25,24,3.38,1
43345157,2025,,SEIBU,,17,1,1,0,6,7,0,0,0.5,63,17,11,1,3,1,13,0,0,1,1,0.53,1
43545151,2024,,DENA,,7,0,0,0,4,4,0,0,0,19,4.2,2,0,3,0,1,3,0,0,0,0,1
